ID,LEVEL,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,R,G,B,A,axis
room0room1Door,LEVELZERO,5,5,5,5,-1,0.5,0.5,-1,-2.5,-2.5,-0.5,-0.5,0.90,0.90,0.90,1,z
lvl0ExitDoor,LEVELZERO,-1.5,-1.5,1.5,1.5,-1,0.70,0.70,-1,-4,-4,-4,-4,0.5,0.5,0.5,1,x
lvl1HangerHallDoor,LEVELONE,1,1,-1,-1,-1,1,1,-1,5,5,5,5,0.90,0.90,0.90,1,x
lvl1Room2Door,LEVELONE,3,3,3,3,-1,1,1,-1,11,11,13,13,0.90,0.90,0.90,1,z
lvl1Room0Door,LEVELONE,-3,-3,-3,-3,-1,1,1,-1,17,17,15,15,0.90,0.90,0.90,1,z
lvl1Room1Door,LEVELONE,-3,-3,-3,-3,-1,1,1,-1,10,10,8,8,0.90,0.90,0.90,1,z
lvl1Room3Door,LEVELONE,6,6,4,4,-1,1,1,-1,10,10,10,10,0.90,0.90,0.90,1,x
lvl1Room4Door,LEVELONE,1,1,-1,-1,-1,1,1,-1,19,19,19,19,0.90,0.90,0.90,1,x
lvl1ExitDoor,LEVELONE,1,1,-1,-1,1,-1,-1,1,29,29,29,29,0.5,0.5,0.5,1,x
lvl2Room0Door,LEVELTWO,-15,-15,-15,-15,-1,1,1,-1,-2,-2,-4,-4,0.90,0.90,0.90,1,z
lvl2Room1Door,LEVELTWO,-15,-15,-15,-15,-1,1,1,-1,-8,-8,-10,-10,0.90,0.90,0.90,1,z
lvl2Room2Door,LEVELTWO,15,15,15,15,-1,1,1,-1,-8,-8,-10,-10,0.90,0.90,0.90,1,z
lvl2Room3Door,LEVELTWO,15,15,15,15,-1,1,1,-1,-2,-2,-4,-4,0.90,0.90,0.90,1,z
lvl2ExitDoor,LEVELTWO,-1,-1,1,1,-1,1,1,-1,-20,-20,-20,-20,0.5,0.5,0.5,1,x
lvl3Room0Door,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-1,-1,-3,-3,0.13,0.5504,0.13,1,z
lvl3Room1Door,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-7,-7,-9,-9,0.13,0.5504,0.13,1,z
lvl3Room2Door,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-13,-13,-15,-15,0.70,0.13,0.13,1,z
lvl3Room3Door,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-19,-19,-21,-21,1,0.5504,0,1,z
lvl3Room7Door,LEVELTHREE,8,8,8,8,-1,1,1,-1,-1,-1,-3,-3,1,0.5504,0,1,z
lvl3Room6Door,LEVELTHREE,8,8,8,8,-1,1,1,-1,-7,-7,-9,-9,1,0.5504,0,1,z
lvl3Room5Door,LEVELTHREE,8,8,8,8,-1,1,1,-1,-13,-13,-15,-15,0.70,0.13,0.13,1,z
lvl3Room4Door,LEVELTHREE,8,8,8,8,-1,1,1,-1,-19,-19,-21,-21,1,0.5504,0,1,z
lvl3Room8Door,LEVELTHREE,-1,-1,1,1,-1,1,1,-1,-2,-2,-2,-2,0.90,0.90,0.90,1,x
lvl3Room9Door,LEVELTHREE,-1,-1,1,1,-1,1,1,-1,-20,-20,-20,-20,0.90,0.90,0.90,1,x
