ID,LEVEL,Trigger,Target,TriggerType,TargetType
tr_lvl0End,LEVELZERO,t_lvlzero_room1,lvl0END,TERMINAL,SWITCH
tr_lvl1Switch,LEVELONE,t_lvl1Room0,lvl1Door6,TERMINAL,SWITCH
tr_lvl1End,LEVELONE,t_lvl1Room3,lvl1END,TERMINAL,SWITCH
tr_lvl2Door1,LEVELTWO,t_lvl2Room0,lvl2Door3,TERMINAL,SWITCH
tr_lvl2Door2,LEVELTWO,t_lvl2Room3,lvl2Door1,TERMINAL,SWITCH
tr_lvl2End,LEVELTWO,t_lvl2Room1,lvl2END,TERMINAL,SWITCH
tr_lvl3Sec1,LEVELTHREE,t_lvl3Room9,lvl3Room3,TERMINAL,SWITCH
tr_lvl3Sec2,LEVELTHREE,t_lvl3Room9,lvl3Room4,TERMINAL,SWITCH
tr_lvl3Sec3,LEVELTHREE,t_lvl3Room9,lvl3Room6,TERMINAL,SWITCH
tr_lvl3Sec4,LEVELTHREE,t_lvl3Room9,lvl3Room8,TERMINAL,SWITCH
tr_lvl3Sec5,LEVELTHREE,t_lvl3Room8,lvl3Room5,TERMINAL,SWITCH
tr_lvl3Sec6,LEVELTHREE,t_lvl3Room8,lvl3Room2,TERMINAL,SWITCH
tr_lvl3End,LEVELTHREE,t_lvl3Room2,lvl3Room2END,TERMINAL,SWITCH
